,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,lat,long
35,49 HARLAN RD SW,12/30/22,"$340,000.00 ",340000,193.8426454,1754,2006,33.753385,-84.4814595
36,867 PERENNIAL DR,12/30/22,"$362,000.00 ",362000,312.0689655,1160,2008,33.9307781,-84.3587996
37,505 PERSIMMON LN,12/30/22,"$650,000.00 ",650000,278.9699571,2330,1978,33.9937534,-84.2914665
38,1 BISCAYNE DR NW # #610,4/26/22,"$241,000.00 ",241000,321.3333333,750,1997,33.81554093,-84.39280001
39,807 EDGEWOOD AVE # A,12/30/22,"$655,000.00 ",655000,391.7464115,1672,1999,33.7550905,-84.3609054
40,151 BEREAN AVE SE,12/30/22,"$395,000.00 ",395000,536.6847826,736,2000,33.7504022,-84.366835
41,596 HOPE ST SW,12/30/22,"$900,000.00 ",900000,250.5567929,3592,2021,33.730248,-84.407152
42,1585 OCALA AVE SW,12/30/22,"$330,000.00 ",330000,192.4198251,1715,1945,33.7274175,-84.4397693
43,2590 GODFREY DR NW,12/30/22,"$260,000.00 ",260000,198.7767584,1308,1950,33.7592651,-84.4725745
44,1215 JENNIFER OAKS CIR,12/30/22,"$760,000.00 ",760000,207.9912425,3654,1984,34.0813217,-84.3218679
45,870 FOXHOLLOW RUN,12/30/22,"$1,625,000.00 ",1625000,363.2096558,4474,2001,34.1373745,-84.2912815
46,6465 CAPITOL KNOLL,12/30/22,"$204,000.00 ",204000,162.1621622,1258,2006,33.577522,-84.573228
47,6700 ROSWELL RD NE # 33 A,12/30/22,"$295,000.00 ",295000,271.1397059,1088,1967,33.9404911,-84.3764504
48,180 BARONE PL,12/30/22,"$285,000.00 ",285000,223.880597,1273,1970,33.8179594,-84.4232749
49,1150 COLLIER RD UNIT L16,12/30/22,"$181,000.00 ",181000,344.7619048,525,1970,33.8100708,-84.4240963
50,1824 WOODLAND HILLS AVE,12/30/22,"$600,000.00 ",600000,281.9548872,2128,1998,33.8053506,-84.4197103
51,3050 NANCY CREEK RD NW,12/30/22,"$1,965,000.00 ",1965000,521.3584505,3769,1951,33.8382388,-84.442743
52,2063 DREW DR,12/30/22,"$535,000.00 ",535000,261.9980411,2042,2020,33.7952672,-84.4546569
53,2676 GEORGE ST NW,12/30/22,"$520,000.00 ",520000,433.3333333,1200,1950,33.8152379,-84.4752495
54,5497 THE VYNE AVE,12/30/22,"$435,000.00 ",435000,143.469657,3032,2005,33.6508993,-84.5710843
55,530 GLENMANOR CT,12/30/22,"$1,050,000.00 ",1050000,304.7011027,3446,2012,33.9231947,-84.367143
56,795 HAMMOND DR # #2201,12/30/22,"$298,500.00 ",298500,232.4766355,1284,1990,33.9174763,-84.3595063
57,81 HIGHLAND DR NE,12/30/22,"$795,000.00 ",795000,407.0660522,1953,1928,33.8442931,-84.3655584
58,346 CARPENTER DR #91,12/30/22,"$225,000.00 ",225000,191.3265306,1176,1967,33.9132128,-84.3768344
59,3483 EBB CIR,12/30/22,"$319,900.00 ",319900,143.6461608,2227,2007,33.5486348,-84.4920029
60,2197 POLAR ROCK PL SW,12/30/22,"$153,000.00 ",153000,153.0,1000,1959,33.694392,-84.393806
61,2346 LAKEWOOD AVE SW,12/30/22,"$135,000.00 ",135000,179.5212766,752,1940,33.696656,-84.3956089
62,300 PEACHTREE ST 20 B,12/30/22,"$245,000.00 ",245000,394.5249597,621,1962,33.7625507,-84.3878992
63,512 DELEVAN ST SW,12/30/22,"$591,000.00 ",591000,280.0947867,2110,2021,33.7267856,-84.4045242
64,1205 JEFFERSON AVE,12/30/22,"$345,000.00 ",345000,262.1580547,1316,1950,33.6850589,-84.428201
65,1434 AVON AVE SW,12/30/22,"$575,000.00 ",575000,473.2510288,1215,1940,33.7221958,-84.434931
66,1265 LORENZO DR SW,12/30/22,"$337,000.00 ",337000,253.003003,1332,1948,33.7206626,-84.4327599
67,1485 RYAN ST SW,12/30/22,"$292,500.00 ",292500,344.9292453,848,1940,33.7146724,-84.4302933
68,137 ARCADIA CIR NW,12/30/22,"$390,000.00 ",390000,433.3333333,900,1940,33.7593213,-84.4273189
69,1743 MADRONA ST NW,12/30/22,"$154,000.00 ",154000,93.22033898,1652,1940,33.7708266,-84.444158
70,3185 CLOVERHURST DR,12/30/22,"$302,000.00 ",302000,167.1278362,1807,1960,33.6688735,-84.4566663
71,804 COMMODORE DR NW,12/30/22,"$210,000.00 ",210000,218.5223725,961,1950,33.7741162,-84.4592906
72,5750 CULLER CT,12/23/22,"$836,000.00 ",836000,275.0904903,3039,1997,34.0731969,-84.1831986
73,2180 ASHTON DR,12/30/22,"$425,000.00 ",425000,235.9800111,1801,1993,34.0756043,-84.3564819
74,545 SPRING GATE LN,12/30/22,"$562,500.00 ",562500,229.0309446,2456,1991,34.0755637,-84.3243955
75,2870 PHARR COURT SOUTH NW #1207,12/29/22,"$235,000.00 ",235000,291.2019827,807,1988,33.8337828,-84.3855828
76,749 JASPER COVE,12/29/22,"$318,000.00 ",318000,211.0152621,1507,2005,33.5559365,-84.4703822
77,155 PARKWAY DR,12/29/22,"$361,000.00 ",361000,170.5243269,2117,2006,33.7613936,-84.3742807
78,3010 CASTLE PINES DR,12/29/22,"$1,140,000.00 ",1140000,277.1025766,4114,1988,34.0203853,-84.1814683
79,2454 POOLE RD SW,12/29/22,"$290,000.00 ",290000,172.6190476,1680,1955,33.7190644,-84.4680239
80,397 UTOY CIR SW,12/29/22,"$225,000.00 ",225000,219.5121951,1025,1964,33.7432284,-84.5278506
81,6804 GLENRIDGE DR 6804D,12/29/22,"$225,000.00 ",225000,236.8421053,950,1981,33.9415479,-84.3664014
82,1202 RIVER GREEN DR,12/29/22,"$298,400.00 ",298400,229.5384615,1300,1991,33.8630529,-84.4483944
83,1178 ASCOTT VALLEY DR,12/29/22,"$1,516,000.00 ",1516000,241.8248524,6269,2000,34.0327484,-84.1827126
84,1707 WATERS EDGE TRL,12/29/22,"$465,000.00 ",465000,254.9342105,1824,2002,34.0598027,-84.3908657
85,3060 PHARR COURT NORTH NW 607,12/29/22,"$190,000.00 ",190000,226.1904762,840,1970,33.8388961,-84.3846922
86,10 TWENTY SIXTH ST # F 3,3/8/22,"$170,000.00 ",170000,223.390276,761,1960,33.8020428,-84.39373712
87,390 SEVENTEENTH ST NW LOT 4002,12/29/22,"$225,000.00 ",225000,270.4326923,832,2007,33.7903038,-84.3994771
88,26208 PLANTATION DR NE,12/29/22,"$330,000.00 ",330000,225.7181943,1462,1985,33.83582,-84.354491
89,132 HOLCOMB FERRY RD,12/29/22,"$260,000.00 ",260000,209.6774194,1240,1983,34.027592,-84.322827
90,10390 SUMMER CREEK DR,12/29/22,"$405,000.00 ",405000,237.1194379,1708,1987,34.035712,-84.2626746
91,1111 WYLIE ST SE,12/29/22,"$640,000.00 ",640000,314.4963145,2035,2005,33.7522346,-84.3507338
92,968 SAINT CHARLES AVE NE,12/29/22,"$286,000.00 ",286000,440.0,650,1940,33.7757699,-84.3557079
93,1294 CLERMONT AVE,12/29/22,"$287,515.00 ",287515,240.3971572,1196,1947,33.6944703,-84.4312369
94,1994 RENA CIR SW,12/29/22,"$397,000.00 ",397000,357.0143885,1112,1955,33.7011783,-84.4716866
95,5050 LOWER ELM ST,12/29/22,"$204,000.00 ",204000,145.7142857,1400,2004,33.6179119,-84.588367
96,800 MILLSBEE DR,12/29/22,"$822,000.00 ",822000,190.7192575,4310,1990,34.072322,-84.3955762
97,1806 VILLAGE LN,12/29/22,"$490,000.00 ",490000,313.7003841,1562,2002,34.059332,-84.3972435
98,110 RIDGE POINT CLOSE,12/29/22,"$600,000.00 ",600000,183.3740831,3272,1985,34.0069263,-84.3225255
99,3040 PEACHTREE RD # 1108,12/29/22,"$330,000.00 ",330000,412.5,800,2006,33.8388724,-84.3819533
100,136 PEACHTREE MEMORIAL 12-3,12/29/22,"$275,000.00 ",275000,248.1949458,1108,1975,33.8170179,-84.3945737
101,639 LARCHMONT DR NW,12/29/22,"$331,000.00 ",331000,243.5614422,1359,1973,33.7691962,-84.48938
102,4251 UTOY CT SW,12/29/22,"$230,000.00 ",230000,230.0,1000,1962,33.7456149,-84.5267039
103,1187 GLENRIDGE PL,12/29/22,"$485,000.00 ",485000,271.2527964,1788,2004,33.9026689,-84.3499943
104,844 EAST MORNINGSIDE DR,12/29/22,"$975,000.00 ",975000,319.8818898,3048,1930,33.7983827,-84.3594348
105,8335 HIGH HAMPTON CHASE,12/29/22,"$750,000.00 ",750000,237.5673107,3157,1996,34.0426962,-84.2669113
106,3508 PINE FOREST DR SE,12/29/22,"$225,000.00 ",225000,189.3939394,1188,1962,33.6589153,-84.3538968
107,855 PEACHTREE ST NE UNIT 1306,12/29/22,"$335,000.00 ",335000,427.8416347,783,2008,33.7777998,-84.383904
108,2575 LAUREL CIR,12/29/22,"$235,000.00 ",235000,135.9953704,1728,2002,33.7563894,-84.4718999
109,8005 LINFIELD WAY,12/29/22,"$485,000.00 ",485000,202.7591973,2392,2020,33.9739374,-84.346984
110,8315 EQUINOX LN,12/29/22,"$605,000.00 ",605000,131.2364425,4610,2008,33.5902389,-84.65898
111,222 SPRING ST,12/29/22,"$214,900.00 ",214900,218.3943089,984,1959,33.7645291,-84.3913141
112,6851 ROSWELL RD NE # D 25,12/28/22,"$245,000.00 ",245000,203.1509121,1206,1964,33.9418431,-84.3717681
113,6980 ROSWELL RD # C 8,12/28/22,"$245,000.00 ",245000,199.5114007,1228,1968,33.9452915,-84.3717425
114,195 FOURTEENTH ST # P 206,12/28/22,"$750,000.00 ",750000,431.5304948,1738,2002,33.7859379,-84.3811071
115,1735 PEACHTREE ST NE # 524,12/28/22,"$480,000.00 ",480000,283.520378,1693,2000,33.8012974,-84.3904007
116,390 SEVENTEENTH ST NW 6019,12/28/22,"$315,000.00 ",315000,270.1543739,1166,2006,33.7902899,-84.3995523
117,10515 VIRGINIA PINE LN,12/28/22,"$384,900.00 ",384900,221.7165899,1736,1985,34.0343013,-84.2649785
118,4624 CREEKSIDE COVE,12/28/22,"$324,999.00 ",324999,169.2703125,1920,2005,33.6315818,-84.5400134
119,305 BROOK FORD PNT,12/28/22,"$698,000.00 ",698000,252.1676301,2768,1994,34.0421446,-84.2008158
120,1073 DUNROVEN DR NE,12/28/22,"$990,000.00 ",990000,285.3025937,3470,2004,33.8890854,-84.3524871
121,9855 TRACE VALLEY,12/28/22,"$650,000.00 ",650000,216.2341983,3006,1980,33.9851218,-84.3575116
122,725 DALRYMPLE RD 2 C,12/28/22,"$214,900.00 ",214900,205.0572519,1048,1981,33.9544783,-84.3637355
123,3435 KINGSBORO RD NE 1504,12/28/22,"$375,000.00 ",375000,200.5347594,1870,1991,33.8493558,-84.3585759
124,13300 MORRIS RD # 161,12/28/22,"$360,000.00 ",360000,199.7780244,1802,2000,34.1036363,-84.2558448
125,8059 STILLMIST DR,12/28/22,"$404,000.00 ",404000,107.0765969,3773,2015,33.5785664,-84.646671
126,2500 PEACHTREE RD NW 504N,12/28/22,"$1,100,000.00 ",1100000,393.982808,2792,2000,33.8230156,-84.3883157
127,2386 ARNO CT NW,12/28/22,"$200,000.00 ",200000,231.4814815,864,1960,33.7990496,-84.4662609
128,1056 FAIRBURN RD NW,12/28/22,"$190,000.00 ",190000,205.4054054,925,1961,33.7789068,-84.5071641
129,444 THE NORTH CHACE,12/28/22,"$395,000.00 ",395000,191.375969,2064,1979,33.926955,-84.360807
130,2345 LAKE ROYALE DR,12/28/22,"$278,400.00 ",278400,140.4641776,1982,2003,33.5555254,-84.4627952
131,322 PETERS ST SW # 6,12/28/22,"$340,000.00 ",340000,221.4983713,1535,2005,33.7459083,-84.4031996
132,1411 BEATIE AVE SW,12/28/22,"$450,000.00 ",450000,275.3977968,1634,1910,33.7163471,-84.411147
133,837 CENTER HILL AVE NW,12/28/22,"$290,000.00 ",290000,237.704918,1220,1920,33.7779575,-84.4638982
134,3721 AVENSONG VILLAGE CIR,12/28/22,"$396,000.00 ",396000,385.9649123,1026,1996,34.1049883,-84.2631837
135,100 BISCAYNE DR # A 4,7/27/22,"$228,000.00 ",228000,220.0772201,1036,1964,33.81534498,-84.39473783
136,190 AZALEA DR,12/28/22,"$512,000.00 ",512000,389.0577508,1316,1961,34.0050869,-84.3732209
137,3290 STONEWALL TELL RD,12/28/22,"$325,000.00 ",325000,152.1535581,2136,1964,33.6662003,-84.5944677
138,430 LINDBERGH DR NE # B 4,12/28/22,"$261,000.00 ",261000,219.6969697,1188,1957,33.8219015,-84.3734181
139,1115 BRIARCLIFF PL NE 6,12/28/22,"$229,000.00 ",229000,371.1507293,617,1930,33.7769433,-84.3508007
140,3189 HUMPHRIES DR SE,12/28/22,"$322,500.00 ",322500,331.7901235,972,1940,33.6686564,-84.3784563
141,100 BISCAYNE DR # C 2,1/6/22,"$220,000.00 ",220000,212.3552124,1036,1964,33.81534498,-84.39473783
142,6387 WOODWELL DR LOT 243,12/28/22,"$325,500.00 ",325500,167.4382716,1944,2017,33.5805078,-84.5238067
143,6500 BUFFINGTON RD,12/28/22,"$340,000.00 ",340000,137.0967742,2480,1985,33.5775708,-84.51212
144,6055 CAPITOL KNOLL,12/28/22,"$215,000.00 ",215000,149.5132128,1438,2004,33.5768877,-84.5717494
145,1080 PEACHTREE ST NE UNIT 2007,12/27/22,"$435,000.00 ",435000,498.853211,872,2008,33.783839,-84.3838658
146,6485 BUCKHURST TRL,12/27/22,"$215,500.00 ",215500,179.8831386,1198,1973,33.5708146,-84.499502
147,2255 BURROUGHS AVE SE,12/27/22,"$273,500.00 ",273500,250.0,1094,1950,33.6925956,-84.3715167
148,445 CARRIAGE CT,12/27/22,"$362,000.00 ",362000,213.1919906,1698,1989,34.0437865,-84.2118847
149,1818 MARITIME WAY,12/27/22,"$645,000.00 ",645000,321.2151394,2008,2019,33.8098791,-84.453215
150,2161 OLD GEORGIAN TER,12/27/22,"$462,000.00 ",462000,228.035538,2026,2020,33.8143863,-84.4793285
151,167 HICKORY ST,12/27/22,"$310,000.00 ",310000,702.9478458,441,1927,34.0789712,-84.4121166
152,600 OLD COBBLESTONE DR,12/27/22,"$3,950,000.00 ",3950000,207.4144087,19044,2006,33.9691358,-84.3057956
153,796 LAVENDER LN,12/27/22,"$369,600.00 ",369600,139.6297696,2647,2006,33.5491861,-84.5271134
154,11325 OLBRICH TRL,12/27/22,"$839,900.00 ",839900,259.2283951,3240,2018,34.0512564,-84.1561472
155,955 JUNIPER ST # 2113,12/27/22,"$325,000.00 ",325000,371.8535469,874,1996,33.7805621,-84.3818848
156,4461 CLEMENT DR SW,12/27/22,"$255,000.00 ",255000,225.6637168,1130,1962,33.7541257,-84.5337504
157,1205 PINE HEIGHTS DR,12/27/22,"$285,000.00 ",285000,189.4946809,1504,1986,33.829183,-84.357407
158,565 SYDNEY ST SE,12/27/22,"$448,750.00 ",448750,431.4903846,1040,1920,33.7408628,-84.3689189
159,12545 CORNISH CT,12/27/22,"$325,000.00 ",325000,183.4085779,1772,1990,34.0858173,-84.1989334
160,413 BURBANK ALY,12/27/22,"$830,000.00 ",830000,302.2578296,2746,2018,34.098085,-84.2771546
161,4118 SPARTA BLVD,12/27/22,"$382,500.00 ",382500,118.3477723,3232,2017,33.6484178,-84.6180481
162,6700 ROSWELL RD NE 12 D,12/27/22,"$235,000.00 ",235000,193.2565789,1216,1967,33.9404911,-84.3764504
163,253 FRANKLIN RD,12/27/22,"$712,500.00 ",712500,309.7826087,2300,2018,33.8859979,-84.3787848
164,336 HOWELL DR SW,12/27/22,"$210,000.00 ",210000,94.80812641,2215,1995,33.7544561,-84.5070679
165,2545 ROXBURGH DR,12/27/22,"$705,000.00 ",705000,260.8213097,2703,1979,34.0339937,-84.2882179
166,1014 VALLEY VIEW RD SE,12/27/22,"$289,000.00 ",289000,235.3420195,1228,1960,33.6910503,-84.3548006
167,100 BISCAYNE DR # D 1,12/16/22,"$190,000.00 ",190000,256.7567568,740,1964,33.81534498,-84.39473783
168,2586 BRANDON RD,12/23/22,"$160,000.00 ",160000,101.0739103,1583,1959,33.6339143,-84.4737223
169,5452 JAMERSON DR,12/23/22,"$409,900.00 ",409900,131.5468549,3116,2013,33.6338071,-84.5658456
170,1921 WINDSOR DR SW,12/23/22,"$283,500.00 ",283500,232.3770492,1220,1956,33.7038086,-84.4734786
171,243 OAKCLIFF CT NW,12/23/22,"$490,000.00 ",490000,471.1538462,1040,1963,33.7617801,-84.4988057
172,5855 HERSHINGER CLOSE,12/23/22,"$819,900.00 ",819900,206.0567982,3979,1995,34.0042275,-84.182869
173,895 WHITEHALL WAY,12/23/22,"$525,000.00 ",525000,263.5542169,1992,1985,34.0521112,-84.3462148
174,273 MEADOWBROOK DR NE,12/23/22,"$1,775,000.00 ",1775000,1224.137931,1450,1945,33.8779463,-84.3784974
175,2030 FAIRHAVEN CIR NE,12/23/22,"$820,000.00 ",820000,375.4578755,2184,1930,33.8165214,-84.3879406
176,4090 PARAN POINTE DR NW,12/23/22,"$820,000.00 ",820000,208.9171975,3925,1992,33.865513,-84.4368553
177,201 THOMPSON ST,12/23/22,"$1,175,000.00 ",1175000,632.4004306,1858,2019,34.0714532,-84.2864715
178,600 BRICKWORKS CIR NE # 6211,12/23/22,"$620,000.00 ",620000,392.4050633,1580,2002,33.7587963,-84.3632829
179,375 RALPH MCGILL BLVD NE # 603,12/23/22,"$221,600.00 ",221600,251.2471655,882,1980,33.7636543,-84.3758377
180,1088 WINBURN DR,12/23/22,"$200,000.00 ",200000,148.9203276,1343,1944,33.6837957,-84.4244488
181,1058 BAYROSE CIR 58A,12/23/22,"$307,000.00 ",307000,207.9945799,1476,2021,33.7055364,-84.4444885
182,2039 LINWOOD AVE,12/23/22,"$220,000.00 ",220000,183.9464883,1196,1956,33.6809365,-84.4555128
183,15625 FREEMANVILLE RD,12/23/22,"$3,350,000.00 ",3350000,805.6758057,4158,2003,34.1612704,-84.3161547
184,424 LINDBERGH DR NE,12/23/22,"$300,000.00 ",300000,276.2430939,1086,1999,33.8223079,-84.3741679
185,5909 PROVIDENCE RUN,12/23/22,"$379,900.00 ",379900,126.8871075,2994,2006,33.5718691,-84.5186012
186,4510 COLLINS AVE,12/22/22,"$1,280,000.00 ",1280000,415.8544509,3078,2017,33.8785114,-84.3822587
187,27 IVY SQUARE NE,12/22/22,"$368,000.00 ",368000,231.7380353,1588,1972,33.8577132,-84.3798524
188,955 JUNIPER ST 1116,12/22/22,"$307,000.00 ",307000,467.2754947,657,1996,33.780614,-84.3819814
189,200 RIVER VISTA DR UNIT 722,12/22/22,"$294,000.00 ",294000,345.8823529,850,2010,33.9011253,-84.4399001
190,480 SOCIETY ST,12/22/22,"$850,000.00 ",850000,221.8741843,3831,2003,34.0438555,-84.2752181
191,100 BISCAYNE DR E # 3,1/14/22,"$175,000.00 ",175000,236.4864865,740,1964,33.81534498,-84.39473783
192,135 KIMBERLY CREEK PL,12/22/22,"$243,000.00 ",243000,133.8105727,1816,1993,33.5801375,-84.4844178
193,897 NORTH HIGHLAND AVE UNIT A1,12/22/22,"$190,000.00 ",190000,324.7863248,585,1959,33.7790643,-84.3525177
194,5844 UNION WALK DR,12/22/22,"$233,500.00 ",233500,154.0237467,1516,2007,33.5889614,-84.5696826
195,320 AVEBURY CT,12/22/22,"$533,500.00 ",533500,245.626151,2172,1992,34.0260273,-84.2568323
196,305 MANNES LN,12/22/22,"$380,000.00 ",380000,190.5717151,1994,2015,34.0393763,-84.2183958
197,6112 PRESTWOOD DR,12/22/22,"$489,000.00 ",489000,239.7058824,2040,2004,34.0445075,-84.1827573
198,230 WINDFLOWER TRC,12/22/22,"$475,000.00 ",475000,375.4940711,1265,1974,34.0274759,-84.368026
199,303 CANTON WAY,12/22/22,"$460,000.00 ",460000,283.0769231,1625,2016,34.032882,-84.3609965
200,4370 WEST CLUB DR NE,12/22/22,"$1,385,000.00 ",1385000,581.9327731,2380,1960,33.873833,-84.3570085
201,855 PEACHTREE ST NE UNIT 1412,12/22/22,"$325,000.00 ",325000,434.4919786,748,2008,33.7777998,-84.383904
202,541 TUFTON TRL SE,12/22/22,"$272,000.00 ",272000,170.0,1600,2006,33.6645204,-84.3828275
203,685 BROOKLINE ST SW,12/22/22,"$575,000.00 ",575000,345.9687124,1662,1910,33.7273993,-84.410093
204,976 CASCADE AVE SW,12/22/22,"$280,000.00 ",280000,222.7525855,1257,1945,33.7283848,-84.4419815
205,15920 MILTON POINT,12/22/22,"$1,050,000.00 ",1050000,233.6448598,4494,2002,34.1692665,-84.3083033
206,7802 BLUEFIN TRL LOT 777,12/22/22,"$270,000.00 ",270000,175.8957655,1535,2012,33.5444512,-84.5330256
207,2170 RED OAK CIR,12/22/22,"$175,000.00 ",175000,115.2832675,1518,2003,33.5579811,-84.5174643
208,7176 WOODRIDGE LN,12/22/22,"$195,000.00 ",195000,131.4016173,1484,1986,33.557374,-84.523859
209,191 MYSTIC CT,12/22/22,"$735,000.00 ",735000,313.7003841,2343,2003,33.8846862,-84.3815228
210,3040 PEACHTREE RD # 1602,12/22/22,"$305,000.00 ",305000,396.1038961,770,2006,33.8388724,-84.3819533
211,2870 PHARR COURT SOUTH NW #602,12/22/22,"$210,000.00 ",210000,166.6666667,1260,1988,33.8337828,-84.3855828
212,4720 POWERS FERRY RD NW,12/22/22,"$1,025,000.00 ",1025000,345.3504043,2968,1963,33.8841156,-84.3975876
213,2795 BEN HILL RD,12/22/22,"$390,000.00 ",390000,161.2236461,2419,1940,33.6856234,-84.4796662
214,3553 HAMLIN SQUARE,12/22/22,"$374,400.00 ",374400,128.970031,2903,2005,33.6615668,-84.5560626
215,996 LINDRIDGE DR NE,12/22/22,"$537,500.00 ",537500,405.3544495,1326,1955,33.8216764,-84.3560329
216,1019 BYRON DR SW,8/4/22,"$449,900.00 ",449900,316.8309859,1420,1930,33.71300502,-84.42176472
217,572 SIMMONS ST NW,12/22/22,"$113,500.00 ",113500,96.34974533,1178,1950,33.770262,-84.4206345
218,1023 COLONNADE WAY,4/22/22,"$915,000.00 ",915000,302.0798944,3029,2001,34.15251367,-84.33779307
219,2222 BEECHER RD SW,12/22/22,"$240,000.00 ",240000,154.1425819,1557,1945,33.7292755,-84.4608077
220,3467 LANDEN PINE CT,12/22/22,"$725,000.00 ",725000,328.3514493,2208,2017,33.8505985,-84.3818354
221,2870 PHARR COURT SOUTH NW #2203,12/22/22,"$192,500.00 ",192500,354.5119705,543,1988,33.8337828,-84.3855828
222,1280 WEST PEACHTREE ST NW 1609,12/22/22,"$355,000.00 ",355000,345.3307393,1028,1989,33.7896852,-84.3888045
223,3530 PACES PL NW,12/22/22,"$642,000.00 ",642000,297.2222222,2160,1962,33.8511425,-84.4334111
224,1617 MUSKET RIDGE NW,12/22/22,"$1,165,000.00 ",1165000,403.5330793,2887,1968,33.8699461,-84.440282
225,3154 OAKCLIFF RD NW,12/22/22,"$323,000.00 ",323000,326.9230769,988,1962,33.7583749,-84.4906505
226,2725 SHORELAND DR,12/22/22,"$260,000.00 ",260000,243.902439,1066,1961,33.6799668,-84.5359582
227,3481 LAKESIDE DR NE 1807,12/22/22,"$365,000.00 ",365000,296.7479675,1230,1990,33.8490825,-84.3571439
228,319 DELMONT DR NE,12/22/22,"$893,000.00 ",893000,451.9230769,1976,1929,33.8325286,-84.3764982
229,9121 BRANCH VALLEY WAY,12/22/22,"$412,000.00 ",412000,192.1641791,2144,1983,34.0003248,-84.3049183
230,789 CORDUROY LN,12/22/22,"$935,000.00 ",935000,396.8590832,2356,2013,33.7616944,-84.361619
